date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:14	129/129	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Tue,%2028%20Feb%202017%2017:23:56%20GMT	http://www.londonbeautyqueen.com/robots.txt		(from )
17:56:14	142261/142261	U-----	200	untouched ('OK')	text/html	date:Tue,%2028%20Feb%202017%2017:23:56%20GMT	http://www.londonbeautyqueen.com/	www.londonbeautyqueen.com/index.html	(from )
17:56:14	225/225	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Feb%202017%2017:56:14%20GMT	http://ogp.me/ns	ogp.me/ns.0.delayed	(from http://www.londonbeautyqueen.com/)
17:56:15	3638/3638	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2028%20Feb%202017%2017:23:56%20GMT	http://www.londonbeautyqueen.com/favicon.ico	www.londonbeautyqueen.com/favicon.ico	(from http://www.londonbeautyqueen.com/)
17:56:15	0/0	---M--	302	error ('Found')	text/html	etag:W/%22bf1c412c-d551-4f87-b58a-0f57b68239fd%22	http://www.londonbeautyqueen.com/feeds/posts/default	www.londonbeautyqueen.com/feeds/posts/default.2.delayed	(from http://www.londonbeautyqueen.com/)
17:56:15	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2028%20Feb%202017%2017:56:15%20GMT	http://ogp.me/ns/	ogp.me/ns/index.html	(from http://www.londonbeautyqueen.com/)
17:56:15	0/0	---M--	302	error ('Found')	text/html	etag:W/%22bf1c412c-d551-4f87-b58a-0f57b68239fd%22	http://www.londonbeautyqueen.com/feeds/posts/default?alt=rss	www.londonbeautyqueen.com/feeds/posts/default.49522.delayed	(from http://www.londonbeautyqueen.com/)
17:56:16	251/251	---M--	302	error ('Found')	text/html	date:Tue,%2028%20Feb%202017%2017:56:16%20GMT	http://ajax.googleapis.com/	ajax.googleapis.com/index.html	(from http://www.londonbeautyqueen.com/)
17:56:16	1604/1604	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Feb%202017%2017:56:16%20GMT	http://fonts.googleapis.com/	fonts.googleapis.com/index.html	(from http://www.londonbeautyqueen.com/)
17:56:16	1053/1053	---MC-	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202017%2017:56:16%20GMT	http://fonts.googleapis.com/css?family=Roboto|Montserrat|Playfair+Display:400,400italic&subset=latin,cyrillic,latin-ext	fonts.googleapis.com/cssb729.css	(from http://www.londonbeautyqueen.com/)
17:56:18	759/759	---MC-	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202017%2017:56:17%20GMT	https://fonts.googleapis.com/css?kit=oS-gHYAGxrHW4OA8PE1MPWoOEfb4Se40mqxnsYvqZ4pCV1_z7jVVszO0_gK1sqwS	fonts.googleapis.com/css7567.css	(from http://www.londonbeautyqueen.com/)
17:56:18	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Feb%202017%2017:56:18%20GMT	http://cdnjs.cloudflare.com/	cdnjs.cloudflare.com/index.html	(from http://www.londonbeautyqueen.com/)
